id,name,calories,feedback
0,가지볶음,70,수분 함량이 높고 칼로리가 낮아 다이어트 식단에 적합해요!
1,간장게장,150,단백질은 좋지만 염분이 높으니 운동 전후 부종을 주의하세요.
2,갈비구이,350,고단백이지만 지방도 많아요. 오늘 하체 운동 강도를 높여볼까요?
3,갈비찜,450,단백질 보충에 좋으나 양념의 당질이 높으니 적당량 섭취하세요.
4,갈비탕,450,운동 후 근회복에 좋지만 국물보다는 건더기 위주로 드세요.
5,갈치구이,200,질 좋은 단백질원입니다! 근성장에 아주 도움이 되는 식단이에요.
6,갈치조림,250,매콤한 양념의 나트륨 배출을 위해 물을 충분히 마셔주세요.
7,감자전,180,운동 전 탄수화물 보충으로 좋지만 기름기 때문에 소화에 주의하세요.
8,감자조림,120,복합 탄수화물로 운동 에너지를 내기에 적당한 반찬입니다.
9,감자채볶음,110,에너지 대사를 돕는 탄수화물입니다. 적당히 드시면 에너지가 쑥쑥!
10,감자탕,500,고칼로리 식단! 오늘 웨이트 트레이닝 세트 수를 늘려보세요.
11,갓김치,40,유산균과 식이섬유가 풍부해요. 식단의 풍미를 더해주는 좋은 반찬!
12,건새우볶음,150,칼슘과 단백질이 풍부해 뼈 건강과 근육에 좋은 간식형 반찬입니다.
13,경단,220,단당류 탄수화물입니다. 운동 직후 빠른 에너지 보충에만 추천해요.
14,계란국,60,저칼로리 고단백 국물 요리로 운동 중 가벼운 식사에 딱입니다.
15,계란말이,180,대표적인 단백질 반찬! 근성장을 위해 꼭 챙겨 드세요.
16,계란찜,130,부드러운 단백질 섭취원입니다. 소화가 잘 되어 운동 전후로 좋아요.
17,계란후라이,100,간편한 단백질 보충제! 기름을 적게 쓰면 더 완벽한 식단입니다.
18,고등어구이,300,불포화지방산이 풍부해 염증 억제와 근육 회복에 탁월합니다.
19,고등어조림,350,오메가-3와 단백질이 풍부한 식단. 양념의 나트륨은 조심!
20,고사리나물,60,식이섬유가 풍부해 포만감을 줍니다. 다이어트 시 강력 추천!
21,고추장진미채볶음,180,단백질은 있지만 당분이 많아요. 양 조절에 신경 써주세요.
22,고추튀김,250,지방 함량이 높습니다. 근질을 생각한다면 튀김옷은 조금만!
23,곰탕_설렁탕,450,단백질과 아미노산이 풍부해 기력 회복과 근성장에 좋습니다.
24,곱창구이,600,고지방 식단! 오늘은 유산소 운동 30분 추가가 필요합니다.
25,곱창전골,550,높은 지방과 나트륨의 조합. 치팅 데이 메뉴로만 즐기세요!
26,과메기,250,겨울철 최고의 단백질과 불포화지방산 공급원입니다.
27,김밥,400,탄단지가 골고루 섞인 간편식! 운동 가기 전 훌륭한 에너지원입니다.
28,김치볶음밥,550,탄수화물이 높으니 운동 전 에너지 로딩용으로 드세요.
29,김치전,220,밀가루 비율이 높으니 근육 선명도를 위해 적당히 드세요.
30,김치찌개,250,단백질(고기) 위주로 건져 드시고 국물은 최소화하세요.
31,김치찜,300,푹 익힌 김치는 소화가 잘 되지만 염분이 높으니 주의!
32,깍두기,35,아삭한 식감이 식단을 즐겁게 해줍니다. 나트륨만 주의하세요.
33,깻잎장아찌,50,철분이 풍부해 운동 중 빈혈 예방에 도움을 주는 반찬입니다.
34,꼬막찜,120,저지방 고단백의 정석! 벌크업과 다이어트 모두에 훌륭합니다.
35,꽁치조림,280,푸른생선의 좋은 지방과 단백질이 근육 피로를 풀어줍니다.
36,꽈리고추무침,60,비타민이 풍부해 운동 후 피로 회복에 도움을 줍니다.
37,꿀떡,250,당질이 매우 높아요. 고강도 운동 후에만 소량 드세요.
38,나박김치,30,수분과 전해질 보충에 좋아 운동 후 갈증 해소에 도움됩니다.
39,누룽지,150,소화가 빠른 탄수화물입니다. 컨디션 조절 시 가벼운 식사로 좋아요.
40,닭갈비,550,단백질은 풍부하지만 당당한 양념! 채소를 많이 곁들여 드세요.
41,닭계장,450,닭고기의 단백질과 채소의 식이섬유가 조화로운 보양식입니다.
42,닭볶음탕,500,벌크업 식단으로 추천! 단백질과 탄수화물을 동시에 잡으세요.
43,더덕구이,120,사포닌 성분이 기력 회복을 도와 운동 퍼포먼스를 높여줍니다.
44,도라지무침,70,기관지 건강과 면역력에 좋아 야외 운동 하시는 분께 추천해요.
45,도토리묵,80,저칼로리 식품의 대명사! 포만감이 커서 다이어트에 딱입니다.
46,동그랑땡,220,가공육보다는 직접 만든 것을 추천! 단백질 간식으로 좋아요.
47,동태찌개,280,흰살생선의 깔끔한 단백질이 체중 관리에 도움을 줍니다.
48,된장찌개,200,콩 단백질이 풍부한 건강식. 나트륨 배출을 위해 채소를 넣으세요.
49,두부김치,250,식물성 단백질의 축제! 운동 후 가벼운 안주나 식사로 최고입니다.
50,두부조림,160,근육 성장에 좋은 식물성 단백질을 맛있게 섭취하는 방법!
51,땅콩조림,200,좋은 지방(불포화지방)이 많지만 칼로리가 높으니 한 줌만!
52,떡갈비,350,단백질 함량은 높지만 당분과 지방도 많으니 주의하세요.
53,떡국_만두국,550,고탄수화물 식단입니다. 운동 전 에너지를 채우기에 좋습니다.
54,떡꼬치,220,단당류와 기름의 조합. 다이어트 중이라면 피해야 할 메뉴!
55,떡볶이,350,혈당을 빠르게 높여요. 근선명도를 위해선 가끔만 드세요.
56,라면,500,나트륨과 정제 탄수화물의 끝판왕! 국물은 꼭 남겨주세요.
57,라볶이,600,매우 높은 탄수화물과 나트륨. 오늘 운동은 평소보다 두 배로!
58,막국수,450,메밀의 복합 탄수화물은 좋지만 양념의 설탕을 조심하세요.
59,만두,350,탄단지가 골고루 들어있어 적당량은 훌륭한 에너지가 됩니다.
60,매운탕,300,생선 건더기 위주로 드시면 훌륭한 저지방 단백질 식단입니다.
61,멍게,80,타우린이 풍부해 운동 후 피로 회복에 아주 좋습니다.
62,메추리알장조림,150,작지만 강한 단백질! 하나씩 집어먹기 좋은 근육 반찬입니다.
63,멸치볶음,120,뼈 건강을 위한 칼슘 공급원! 운동 중 골절 예방에 좋아요.
64,무국,70,소화를 돕는 무가 들어있어 운동 전후 속을 편하게 해줍니다.
65,무생채,40,비타민 C가 풍부해 근육통 완화와 면역력 강화에 좋습니다.
66,물냉면,450,시원한 탄수화물 보충! 육수의 나트륨은 다 마시지 마세요.
67,물회,300,신선한 회의 단백질을 섭취할 수 있는 깔끔한 식단입니다.
68,미역국,80,요오드와 칼슘이 풍부해 혈액 순환과 회복에 도움을 줍니다.
69,미역줄기볶음,70,식이섬유와 미네랄의 보고! 변비 예방과 다이어트에 좋아요.
70,배추김치,35,유산균이 운동 후 장 건강을 책임집니다. 염분만 조심!
71,백김치,30,자극적이지 않은 유산균 급원. 운동 후 수분 보충에도 좋아요.
72,보쌈,600,기름기를 뺀 수육은 최고의 근성장 파트너! 쌈 채소와 함께하세요.
73,부추김치,40,혈액 순환을 도와 운동 중 근육 펌핑감을 높여줄 수 있어요.
74,북엇국,100,해독 작용과 고단백! 컨디션 난조 시 회복 식단으로 추천합니다.
75,불고기,350,철분과 단백질이 풍부해 지치지 않는 체력을 만들어줍니다.
76,비빔냉면,500,양념장의 당분과 나트륨이 높으니 계란부터 먼저 드세요.
77,비빔밥,550,다양한 채소와 단백질의 조화! 최고의 운동 전 식단입니다.
78,산낙지,100,원기 회복의 상징! 타우린이 근피로를 빠르게 씻어줍니다.
79,삼겹살,650,지방이 과도할 수 있어요. 구울 때 기름을 충분히 빼고 드세요.
80,삼계탕,800,고강도 훈련 후 즐기는 최고의 보양식! 단백질 폭탄입니다.
81,새우볶음밥,550,새우의 단백질은 좋지만 볶음밥의 기름기를 주의하세요.
82,새우튀김,300,맛있지만 지방 함량이 높아요. 튀김옷을 벗겨내면 더 좋습니다.
83,생선전,200,부드러운 단백질 섭취원. 기름을 적게 사용한 것을 고르세요.
84,소세지볶음,250,가공육은 첨가물이 많으니 가끔씩만 즐기는 게 좋아요.
85,송편,250,밀도가 높은 탄수화물입니다. 에너지 소모가 큰 날에 드세요.
86,수육,550,단백질 보충의 정석! 불필요한 지방을 뺀 고기는 근육의 친구입니다.
87,수정과,150,당분이 많으니 음료 대신 물을 드시는 게 다이어트에 유리해요.
88,수제비,450,정제 탄수화물 위주라 혈당을 높일 수 있으니 주의하세요.
89,숙주나물,50,해독 작용과 낮은 칼로리로 식단을 깔끔하게 만들어줍니다.
90,순대,350,탄수화물 비중이 높으니 간이나 허파 등 내장을 섞어 단백질을 챙기세요.
91,순두부찌개,250,부드러운 콩 단백질이 근육을 채워줍니다. 해물을 넣으면 금상첨화!
92,시금치나물,50,뽀빠이의 간식! 철분과 비타민이 근력을 키워줍니다.
93,시래기국,120,식이섬유와 미네랄이 풍부해 장 건강과 다이어트에 좋아요.
94,식혜,200,당도가 매우 높습니다. 갈증 해소는 시원한 물로 하세요!
95,알밥,500,날치알의 톡톡 터지는 단백질과 탄수화물의 조화로운 식사입니다.
96,애호박볶음,80,저칼로리 채소 반찬! 식사량을 조절할 때 아주 유용합니다.
97,약과,200,작지만 칼로리 폭탄! 다이어트 중이라면 멀리해야 할 간식입니다.
98,약식,250,견과류가 들어있지만 당분이 높으니 운동 전 에너지 보충용으로만!
99,양념게장,180,밥도둑 주의보! 나트륨 때문에 과식을 유도할 수 있으니 주의하세요.
100,양념치킨,700,오늘이 치팅데인가요? 맛있게 드시고 내일은 공복 유산소!
101,어묵볶음,180,생선살이 들어있지만 당분도 많아요. 가볍게 곁들여 드세요.
102,연근조림,120,식이섬유가 풍부해 포만감을 오래 유지시켜주는 반찬입니다.
103,열무국수,450,시원한 탄수화물 급원. 비타민 보충에도 좋습니다.
104,열무김치,35,운동 후 열을 식혀주고 전해질을 보충해주는 착한 김치!
105,오이소박이,40,수분 보충과 낮은 칼로리로 다이어터에게 사랑받는 반찬입니다.
106,오징어채볶음,160,쫄깃한 단백질! 하지만 양념의 당질은 체크가 필요해요.
107,오징어튀김,350,오징어의 단백질은 훌륭하나 튀김의 지방이 방해꾼입니다.
108,우엉조림,100,이눌린 성분이 체중 감량과 콜레스테롤 조절에 도움을 줍니다.
109,유부초밥,450,유부의 단백질은 좋지만 밥 양이 많아질 수 있으니 주의!
110,육개장,450,쇠고기 단백질과 풍부한 채소! 국물보다는 건더기가 핵심입니다.
111,육회,250,조리하지 않은 신선한 단백질 급원. 근성장에 매우 효과적입니다.
112,잔치국수,400,빠른 에너지 보충이 필요할 때 좋습니다. 고명을 많이 넣어 드세요.
113,잡곡밥,300,흰쌀밥보다 혈당 조절에 유리한 복합 탄수화물입니다. 베스트 초이스!
114,잡채,250,당면은 탄수화물입니다. 채소를 더 많이 섞어 드시면 완벽해요.
115,장어구이,500,스테미너의 상징! 고단백 고지방으로 기력이 떨어진 날 강력 추천합니다.
116,장조림,180,훌륭한 밑반찬용 단백질! 너무 짜지 않게 조리된 것을 드세요.
117,전복죽,350,기력 회복에 최고! 운동 후 지친 몸을 달래주는 영양 식사입니다.
118,젓갈,120,단백질 함량은 있지만 나트륨이 과다하니 소량만 섭취하세요.
119,제육볶음,450,단백질과 탄수화물을 동시에! 상추 쌈을 듬뿍 곁들여 드세요.
120,조개구이,250,지방이 거의 없는 순수 단백질 식단! 다이어트 안주로도 좋아요.
121,조기구이,200,소화가 잘 되는 단백질. 컨디션이 저조한 날의 식단으로 추천!
122,족발,700,콜라겐과 단백질이 많지만 칼로리도 높아요. 껍질보다는 살코기 위주로!
123,주꾸미볶음,300,타우린과 단백질의 조화! 운동 피로를 날려버릴 수 있어요.
124,주먹밥,350,운동 전후 간편하게 에너지를 채우기 좋은 탄수화물입니다.
125,짜장면,650,높은 당질과 지방. 오늘 웨이트 트레이닝 세트를 늘려야겠는데요?
126,짬뽕,550,나트륨 함량이 매우 높습니다. 면 위주로 드시고 국물은 자제하세요.
127,쫄면,550,양념의 당분과 정제 탄수화물이 많으니 채소를 듬뿍 추가하세요.
128,찜닭,550,닭고기의 단백질은 최고! 당면보다는 고기 위주로 공략하세요.
129,총각김치,40,무의 소화 효소가 식사를 도와줍니다. 아삭한 소리로 스트레스도 해소!
130,추어탕,450,미네랄과 단백질이 풍부한 보양식. 운동 능력을 향상시켜줍니다.
131,칼국수,500,탄수화물 함량이 높으니 운동 에너지가 많이 필요한 날 드세요.
132,코다리조림,350,지방 함량이 낮은 단백질 반찬. 양념 조절만 하면 완벽합니다.
133,콩국수,500,식물성 단백질의 정점! 운동 후 시원하게 즐기는 영양식입니다.
134,콩나물국,60,아스파라긴산이 피로 회복을 돕고 칼로리는 거의 없어요.
135,콩나물무침,50,가성비 최고의 식이섬유와 단백질 반찬입니다.
136,콩자반,150,작지만 알찬 식물성 단백질 보충원. 꾸준히 챙겨 드세요.
137,파김치,45,알리신 성분이 신진대사를 도와 운동 효율을 높여줄 수 있어요.
138,파전,250,기름에 부친 탄수화물입니다. 오늘은 유산소 운동을 잊지 마세요!
139,편육,300,단백질 함량이 높지만 지방도 꽤 있으니 양을 적절히 조절하세요.
140,피자,700,고지방 고탄수화물의 조화. 오늘은 정말 빡세게 운동해야겠네요!
141,한과,200,정제된 당류가 많으니 다이어트 중이라면 피하는 것이 좋습니다.
142,해물찜,450,다양한 해산물의 단백질을 섭취할 수 있는 풍성한 식단입니다.
143,호박전,180,베타카로틴이 풍부해 면역력에 좋아요. 기름기는 키친타월로 쏙!
144,호박죽,250,소화가 매우 빠릅니다. 운동 전 가벼운 에너지 보충으로 추천해요.
145,홍어무침,150,발효된 단백질과 채소의 만남. 소화 촉진에 도움을 줍니다.
146,황태구이,220,지방은 적고 단백질은 높은 최고의 헬스 식단 중 하나입니다.
147,회무침,200,신선한 단백질과 비타민의 조합. 체중 관리 시 최고의 별미입니다.
148,후라이드치킨,600,운동 후엔 구운 치킨을 추천하지만 드셨다면 오늘 운동은 성공!
149,훈제오리,450,불포화지방산이 많지만 칼로리는 높으니 쌈 채소와 함께 드세요.